Instruction Name,Description,Url
LDG, Load Allocation Tag.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDG--Load-Allocation-Tag-?lang=en
LDGM, Load Tag Multiple.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDGM--Load-Tag-Multiple-?lang=en
LDLAR, Load LOAcquire Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDLAR--Load-LOAcquire-Register-?lang=en
LDLARB, Load LOAcquire Register Byte.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDLARB--Load-LOAcquire-Register-Byte-?lang=en
LDLARH, Load LOAcquire Register Halfword.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDLARH--Load-LOAcquire-Register-Halfword-?lang=en
LDNP," Load Pair of Registers, with non-temporal hint.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDNP--Load-Pair-of-Registers--with-non-temporal-hint-?lang=en
LDP, Load Pair of Registers.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDP--Load-Pair-of-Registers-?lang=en
LDPSW, Load Pair of Registers Signed Word.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDPSW--Load-Pair-of-Registers-Signed-Word-?lang=en
LDR (immediate), Load Register (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDR--immediate---Load-Register--immediate--?lang=en
LDR (literal), Load Register (literal).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDR--literal---Load-Register--literal--?lang=en
LDR (register), Load Register (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDR--register---Load-Register--register--?lang=en
"LDRAA, LDRAB"," Load Register, with pointer authentication.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRAA--LDRAB--Load-Register--with-pointer-authentication-?lang=en
LDRB (immediate), Load Register Byte (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRB--immediate---Load-Register-Byte--immediate--?lang=en
LDRB (register), Load Register Byte (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRB--register---Load-Register-Byte--register--?lang=en
LDRH (immediate), Load Register Halfword (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRH--immediate---Load-Register-Halfword--immediate--?lang=en
LDRH (register), Load Register Halfword (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRH--register---Load-Register-Halfword--register--?lang=en
LDRSB (immediate), Load Register Signed Byte (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSB--immediate---Load-Register-Signed-Byte--immediate--?lang=en
LDRSB (register), Load Register Signed Byte (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSB--register---Load-Register-Signed-Byte--register--?lang=en
LDRSH (immediate), Load Register Signed Halfword (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSH--immediate---Load-Register-Signed-Halfword--immediate--?lang=en
LDRSH (register), Load Register Signed Halfword (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSH--register---Load-Register-Signed-Halfword--register--?lang=en
LDRSW (immediate), Load Register Signed Word (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSW--immediate---Load-Register-Signed-Word--immediate--?lang=en
LDRSW (literal), Load Register Signed Word (literal).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSW--literal---Load-Register-Signed-Word--literal--?lang=en
LDRSW (register), Load Register Signed Word (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDRSW--register---Load-Register-Signed-Word--register--?lang=en
"LDSET, LDSETA, LDSETAL, LDSETL", Atomic bit set on word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSET--LDSETA--LDSETAL--LDSETL--Atomic-bit-set-on-word-or-doubleword-in-memory-?lang=en
"LDSETB, LDSETAB, LDSETALB, LDSETLB", Atomic bit set on byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSETB--LDSETAB--LDSETALB--LDSETLB--Atomic-bit-set-on-byte-in-memory-?lang=en
"LDSETH, LDSETAH, LDSETALH, LDSETLH", Atomic bit set on halfword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSETH--LDSETAH--LDSETALH--LDSETLH--Atomic-bit-set-on-halfword-in-memory-?lang=en
"LDSMAX, LDSMAXA, LDSMAXAL, LDSMAXL", Atomic signed maximum on word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSMAX--LDSMAXA--LDSMAXAL--LDSMAXL--Atomic-signed-maximum-on-word-or-doubleword-in-memory-?lang=en
"LDSMAXB, LDSMAXAB, LDSMAXALB, LDSMAXLB", Atomic signed maximum on byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSMAXB--LDSMAXAB--LDSMAXALB--LDSMAXLB--Atomic-signed-maximum-on-byte-in-memory-?lang=en
"LDSMAXH, LDSMAXAH, LDSMAXALH, LDSMAXLH", Atomic signed maximum on halfword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSMAXH--LDSMAXAH--LDSMAXALH--LDSMAXLH--Atomic-signed-maximum-on-halfword-in-memory-?lang=en
"LDSMIN, LDSMINA, LDSMINAL, LDSMINL", Atomic signed minimum on word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSMIN--LDSMINA--LDSMINAL--LDSMINL--Atomic-signed-minimum-on-word-or-doubleword-in-memory-?lang=en
"LDSMINB, LDSMINAB, LDSMINALB, LDSMINLB", Atomic signed minimum on byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSMINB--LDSMINAB--LDSMINALB--LDSMINLB--Atomic-signed-minimum-on-byte-in-memory-?lang=en
"LDSMINH, LDSMINAH, LDSMINALH, LDSMINLH", Atomic signed minimum on halfword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDSMINH--LDSMINAH--LDSMINALH--LDSMINLH--Atomic-signed-minimum-on-halfword-in-memory-?lang=en
LDTR, Load Register (unprivileged).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDTR--Load-Register--unprivileged--?lang=en
LDTRB, Load Register Byte (unprivileged).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDTRB--Load-Register-Byte--unprivileged--?lang=en
LDTRH, Load Register Halfword (unprivileged).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDTRH--Load-Register-Halfword--unprivileged--?lang=en
LDTRSB, Load Register Signed Byte (unprivileged).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDTRSB--Load-Register-Signed-Byte--unprivileged--?lang=en
LDTRSH, Load Register Signed Halfword (unprivileged).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDTRSH--Load-Register-Signed-Halfword--unprivileged--?lang=en
LDTRSW, Load Register Signed Word (unprivileged).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDTRSW--Load-Register-Signed-Word--unprivileged--?lang=en
"LDUMAX, LDUMAXA, LDUMAXAL, LDUMAXL", Atomic unsigned maximum on word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDUMAX--LDUMAXA--LDUMAXAL--LDUMAXL--Atomic-unsigned-maximum-on-word-or-doubleword-in-memory-?lang=en
"LDUMAXB, LDUMAXAB, LDUMAXALB, LDUMAXLB", Atomic unsigned maximum on byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDUMAXB--LDUMAXAB--LDUMAXALB--LDUMAXLB--Atomic-unsigned-maximum-on-byte-in-memory-?lang=en
"LDUMAXH, LDUMAXAH, LDUMAXALH, LDUMAXLH", Atomic unsigned maximum on halfword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDUMAXH--LDUMAXAH--LDUMAXALH--LDUMAXLH--Atomic-unsigned-maximum-on-halfword-in-memory-?lang=en
"LDUMIN, LDUMINA, LDUMINAL, LDUMINL", Atomic unsigned minimum on word or doubleword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDUMIN--LDUMINA--LDUMINAL--LDUMINL--Atomic-unsigned-minimum-on-word-or-doubleword-in-memory-?lang=en
"LDUMINB, LDUMINAB, LDUMINALB, LDUMINLB", Atomic unsigned minimum on byte in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDUMINB--LDUMINAB--LDUMINALB--LDUMINLB--Atomic-unsigned-minimum-on-byte-in-memory-?lang=en
"LDUMINH, LDUMINAH, LDUMINALH, LDUMINLH", Atomic unsigned minimum on halfword in memory.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDUMINH--LDUMINAH--LDUMINALH--LDUMINLH--Atomic-unsigned-minimum-on-halfword-in-memory-?lang=en
LDUR, Load Register (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDUR--Load-Register--unscaled--?lang=en
LDURB, Load Register Byte (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDURB--Load-Register-Byte--unscaled--?lang=en
LDURH, Load Register Halfword (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDURH--Load-Register-Halfword--unscaled--?lang=en
LDURSB, Load Register Signed Byte (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDURSB--Load-Register-Signed-Byte--unscaled--?lang=en
LDURSH, Load Register Signed Halfword (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDURSH--Load-Register-Signed-Halfword--unscaled--?lang=en
LDURSW, Load Register Signed Word (unscaled).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDURSW--Load-Register-Signed-Word--unscaled--?lang=en
LDXP, Load Exclusive Pair of Registers.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDXP--Load-Exclusive-Pair-of-Registers-?lang=en
LDXR, Load Exclusive Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDXR--Load-Exclusive-Register-?lang=en
LDXRB, Load Exclusive Register Byte.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDXRB--Load-Exclusive-Register-Byte-?lang=en
LDXRH, Load Exclusive Register Halfword.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LDXRH--Load-Exclusive-Register-Halfword-?lang=en
LSL (immediate), Logical Shift Left (immediate): an alias of UBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LSL--immediate---Logical-Shift-Left--immediate---an-alias-of-UBFM-?lang=en
LSL (register), Logical Shift Left (register): an alias of LSLV.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LSL--register---Logical-Shift-Left--register---an-alias-of-LSLV-?lang=en
LSLV, Logical Shift Left Variable.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LSLV--Logical-Shift-Left-Variable-?lang=en
LSR (immediate), Logical Shift Right (immediate): an alias of UBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LSR--immediate---Logical-Shift-Right--immediate---an-alias-of-UBFM-?lang=en
LSR (register), Logical Shift Right (register): an alias of LSRV.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LSR--register---Logical-Shift-Right--register---an-alias-of-LSRV-?lang=en
LSRV, Logical Shift Right Variable.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/LSRV--Logical-Shift-Right-Variable-?lang=en
MADD, Multiply-Add.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MADD--Multiply-Add-?lang=en
MNEG, Multiply-Negate: an alias of MSUB.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MNEG--Multiply-Negate--an-alias-of-MSUB-?lang=en
MOV (bitmask immediate), Move (bitmask immediate): an alias of ORR (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MOV--bitmask-immediate---Move--bitmask-immediate---an-alias-of-ORR--immediate--?lang=en
MOV (inverted wide immediate), Move (inverted wide immediate): an alias of MOVN.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MOV--inverted-wide-immediate---Move--inverted-wide-immediate---an-alias-of-MOVN-?lang=en
MOV (register), Move (register): an alias of ORR (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MOV--register---Move--register---an-alias-of-ORR--shifted-register--?lang=en
MOV (to/from SP), Move between register and stack pointer: an alias of ADD (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MOV--to-from-SP---Move-between-register-and-stack-pointer--an-alias-of-ADD--immediate--?lang=en
MOV (wide immediate), Move (wide immediate): an alias of MOVZ.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MOV--wide-immediate---Move--wide-immediate---an-alias-of-MOVZ-?lang=en
MOVK, Move wide with keep.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MOVK--Move-wide-with-keep-?lang=en
MOVN, Move wide with NOT.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MOVN--Move-wide-with-NOT-?lang=en
MOVZ, Move wide with zero.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MOVZ--Move-wide-with-zero-?lang=en
MRS, Move System Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MRS--Move-System-Register-?lang=en
MSR (immediate), Move immediate value to Special Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MSR--immediate---Move-immediate-value-to-Special-Register-?lang=en
MSR (register), Move general-purpose register to System Register.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MSR--register---Move-general-purpose-register-to-System-Register-?lang=en
MSUB, Multiply-Subtract.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MSUB--Multiply-Subtract-?lang=en
MUL, Multiply: an alias of MADD.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MUL--Multiply--an-alias-of-MADD-?lang=en
MVN, Bitwise NOT: an alias of ORN (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/MVN--Bitwise-NOT--an-alias-of-ORN--shifted-register--?lang=en
NEG (shifted register), Negate (shifted register): an alias of SUB (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/NEG--shifted-register---Negate--shifted-register---an-alias-of-SUB--shifted-register--?lang=en
NEGS," Negate, setting flags: an alias of SUBS (shifted register).",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/NEGS--Negate--setting-flags--an-alias-of-SUBS--shifted-register--?lang=en
NGC, Negate with Carry: an alias of SBC.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/NGC--Negate-with-Carry--an-alias-of-SBC-?lang=en
NGCS," Negate with Carry, setting flags: an alias of SBCS.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/NGCS--Negate-with-Carry--setting-flags--an-alias-of-SBCS-?lang=en
NOP, No Operation.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/NOP--No-Operation-?lang=en
ORN (shifted register), Bitwise OR NOT (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ORN--shifted-register---Bitwise-OR-NOT--shifted-register--?lang=en
ORR (immediate), Bitwise OR (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ORR--immediate---Bitwise-OR--immediate--?lang=en
ORR (shifted register), Bitwise OR (shifted register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ORR--shifted-register---Bitwise-OR--shifted-register--?lang=en
"PACDA, PACDZA"," Pointer Authentication Code for Data address, using key A.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/PACDA--PACDZA--Pointer-Authentication-Code-for-Data-address--using-key-A-?lang=en
"PACDB, PACDZB"," Pointer Authentication Code for Data address, using key B.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/PACDB--PACDZB--Pointer-Authentication-Code-for-Data-address--using-key-B-?lang=en
PACGA," Pointer Authentication Code, using Generic key.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/PACGA--Pointer-Authentication-Code--using-Generic-key-?lang=en
"PACIA, PACIA1716, PACIASP, PACIAZ, PACIZA"," Pointer Authentication Code for Instruction address, using key A.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/PACIA--PACIA1716--PACIASP--PACIAZ--PACIZA--Pointer-Authentication-Code-for-Instruction-address--using-key-A-?lang=en
"PACIB, PACIB1716, PACIBSP, PACIBZ, PACIZB"," Pointer Authentication Code for Instruction address, using key B.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/PACIB--PACIB1716--PACIBSP--PACIBZ--PACIZB--Pointer-Authentication-Code-for-Instruction-address--using-key-B-?lang=en
PRFM (immediate), Prefetch Memory (immediate).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/PRFM--immediate---Prefetch-Memory--immediate--?lang=en
PRFM (literal), Prefetch Memory (literal).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/PRFM--literal---Prefetch-Memory--literal--?lang=en
PRFM (register), Prefetch Memory (register).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/PRFM--register---Prefetch-Memory--register--?lang=en
PRFUM, Prefetch Memory (unscaled offset).,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/PRFUM--Prefetch-Memory--unscaled-offset--?lang=en
PSB CSYNC, Profiling Synchronization Barrier.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/PSB-CSYNC--Profiling-Synchronization-Barrier-?lang=en
PSSBB, Physical Speculative Store Bypass Barrier.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/PSSBB--Physical-Speculative-Store-Bypass-Barrier-?lang=en
RBIT, Reverse Bits.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/RBIT--Reverse-Bits-?lang=en
RET, Return from subroutine.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/RET--Return-from-subroutine-?lang=en
"RETAA, RETAB"," Return from subroutine, with pointer authentication.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/RETAA--RETAB--Return-from-subroutine--with-pointer-authentication-?lang=en
REV, Reverse Bytes.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/REV--Reverse-Bytes-?lang=en
REV16, Reverse bytes in 16-bit halfwords.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/REV16--Reverse-bytes-in-16-bit-halfwords-?lang=en
REV32, Reverse bytes in 32-bit words.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/REV32--Reverse-bytes-in-32-bit-words-?lang=en
REV64, Reverse Bytes: an alias of REV.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/REV64--Reverse-Bytes--an-alias-of-REV-?lang=en
RMIF," Rotate, Mask Insert Flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/RMIF--Rotate--Mask-Insert-Flags-?lang=en
ROR (immediate), Rotate right (immediate): an alias of EXTR.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ROR--immediate---Rotate-right--immediate---an-alias-of-EXTR-?lang=en
ROR (register), Rotate Right (register): an alias of RORV.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/ROR--register---Rotate-Right--register---an-alias-of-RORV-?lang=en
RORV, Rotate Right Variable.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/RORV--Rotate-Right-Variable-?lang=en
SB, Speculation Barrier.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SB--Speculation-Barrier-?lang=en
SBC, Subtract with Carry.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SBC--Subtract-with-Carry-?lang=en
SBCS," Subtract with Carry, setting flags.",https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SBCS--Subtract-with-Carry--setting-flags-?lang=en
SBFIZ, Signed Bitfield Insert in Zero: an alias of SBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SBFIZ--Signed-Bitfield-Insert-in-Zero--an-alias-of-SBFM-?lang=en
SBFM, Signed Bitfield Move.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SBFM--Signed-Bitfield-Move-?lang=en
SBFX, Signed Bitfield Extract: an alias of SBFM.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SBFX--Signed-Bitfield-Extract--an-alias-of-SBFM-?lang=en
SDIV, Signed Divide.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SDIV--Signed-Divide-?lang=en
"SETF8, SETF16", Evaluation of 8 or 16 bit flag values.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SETF8--SETF16--Evaluation-of-8-or-16-bit-flag-values-?lang=en
SEV, Send Event.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SEV--Send-Event-?lang=en
SEVL, Send Event Local.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SEVL--Send-Event-Local-?lang=en
SMADDL, Signed Multiply-Add Long.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SMADDL--Signed-Multiply-Add-Long-?lang=en
SMC, Secure Monitor Call.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SMC--Secure-Monitor-Call-?lang=en
SMNEGL, Signed Multiply-Negate Long: an alias of SMSUBL.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SMNEGL--Signed-Multiply-Negate-Long--an-alias-of-SMSUBL-?lang=en
SMSUBL, Signed Multiply-Subtract Long.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SMSUBL--Signed-Multiply-Subtract-Long-?lang=en
SMULH, Signed Multiply High.,https://developer.arm.com/documentation/ddi0596/2020-12/Base-Instructions/SMULH--Signed-Multiply-High-?lang=en
